_id,userId,accountId,amount,currency,type,category,description,occuredAt
"{""$oid"": ""352fd329aad06bdc53b89c81""}","{""$oid"": ""909c8724416f6d9384d2eedd""}","{""$oid"": ""6a49c561313c4fc330ecc40a""}",2606.61,EUR,expense,Faturalar,Aidat,"{""$date"": ""2025-12-01T19:27:08.014000Z""}"
"{""$oid"": ""7815849a835fdc2c34ac1252""}","{""$oid"": ""734e428e161f43097fa019c7""}","{""$oid"": ""3ae77887dce441fddfc5048c""}",2177.55,EUR,expense,Ulaşım,Uber,"{""$date"": ""2025-11-09T08:45:08.014000Z""}"
"{""$oid"": ""9e6ba80f58021eaa611c67bd""}","{""$oid"": ""dbf39b26b3ee2f6e93300762""}","{""$oid"": ""8c28ec056c0cd2fa730addd8""}",4946.82,EUR,expense,Sağlık,Hastane,"{""$date"": ""2025-12-16T09:03:08.014000Z""}"
"{""$oid"": ""842a644f39c982b39e6cd18c""}","{""$oid"": ""c970305faaf820db7df8c09f""}","{""$oid"": ""75dc55ca8e97817293fd0bb7""}",331.76,EUR,expense,Faturalar,Aidat,"{""$date"": ""2025-12-05T05:12:08.014000Z""}"
"{""$oid"": ""80b568ae863c67f04a65c285""}","{""$oid"": ""0eff0798420a0da1dc37280d""}","{""$oid"": ""d2ec3cd1f6443cad73a95a10""}",3368.95,EUR,expense,Yemek,Market yemeği,"{""$date"": ""2025-12-18T20:27:08.014000Z""}"
"{""$oid"": ""a0fcbeb6badfdc56eb5ac59e""}","{""$oid"": ""f5735309b4602dd75fb7fc81""}","{""$oid"": ""6a8ee367e14fa7fe84cf31f3""}",1523.42,USD,expense,Ulaşım,Yakıt,"{""$date"": ""2025-10-31T22:50:08.014000Z""}"
"{""$oid"": ""5f7660faae4ae520c7075f99""}","{""$oid"": ""80b092b653690a1b0941f5d9""}","{""$oid"": ""382967cda1b2bc33ce9b8289""}",3897.55,TRY,expense,Faturalar,Aidat,"{""$date"": ""2025-11-24T11:14:08.014000Z""}"
"{""$oid"": ""717c544248e324fcf531158c""}","{""$oid"": ""0c916301de2484846800c3b5""}","{""$oid"": ""74ae9456c269e940604d7dfd""}",4523.47,USD,expense,Alışveriş,LC Waikiki,"{""$date"": ""2025-11-23T04:20:08.014000Z""}"
"{""$oid"": ""31f4af74a4f2698491a0350e""}","{""$oid"": ""f5735309b4602dd75fb7fc81""}","{""$oid"": ""6a8ee367e14fa7fe84cf31f3""}",3158.8,USD,expense,Alışveriş,LC Waikiki,"{""$date"": ""2025-12-17T15:04:08.014000Z""}"
"{""$oid"": ""f9eb292e11298527688b616e""}","{""$oid"": ""ef7e33fba410b2048dcfd06d""}","{""$oid"": ""d01c6c5c80265ae5039084b1""}",3426.01,EUR,expense,Ulaşım,Taksi,"{""$date"": ""2025-10-27T22:04:08.014000Z""}"
